Date;Open*;High;Low;Close**;Volume;Market Cap
04/01/2015;0,466618;0,46779;0,398095;0,417234;29438;2582190
05/01/2015;0,411376;0,447289;0,393024;0,421412;35008;2283900
06/01/2015;0,42162;0,477287;0,409644;0,461609;34747;2348070
07/01/2015;0,461614;0,477443;0,446402;0,463607;21150;2578210
08/01/2015;0,472087;0,472087;0,429126;0,429175;18235;2645040
09/01/2015;0,428426;0,441486;0,413262;0,431801;15357;2407840
10/01/2015;0,425966;0,430232;0,370869;0,419216;23213;2400600
11/01/2015;0,418943;0,419528;0,372444;0,378748;12932;2369310
12/01/2015;0,378873;0,385037;0,360253;0,364316;12038;2149210
13/01/2015;0,363763;0,365199;0,297354;0,309479;15632;2069830
14/01/2015;0,300409;0,304722;0,212967;0,223522;20845;1714500
15/01/2015;0,220121;0,273713;0,220121;0,261714;14019;1260140
16/01/2015;0,260538;0,282141;0,247618;0,278449;14483;1496130
17/01/2015;0,282024;0,284548;0,236521;0,248057;12834;1624370
18/01/2015;0,24873;0,269781;0,232751;0,258656;11861;1436750
19/01/2015;0,255703;0,26484;0,237711;0,254181;17060;1481490
20/01/2015;0,253765;0,254656;0,230319;0,236223;8074;1474700
21/01/2015;0,240656;0,262472;0,232988;0,261268;10021;1402630
22/01/2015;0,261508;0,287439;0,257221;0,273442;15643;1528690
23/01/2015;0,273993;0,289574;0,255464;0,283141;12269;1606240
24/01/2015;0,279997;0,306491;0,266452;0,298369;16130;1646270
25/01/2015;0,297115;0,33284;0,295258;0,310227;24533;1752130
26/01/2015;0,315818;0,362985;0,299823;0,317078;29144;1867840
27/01/2015;0,31654;0,330593;0,288746;0,320371;17844;1877370
28/01/2015;0,319018;0,330095;0,276252;0,290979;16093;1897440
29/01/2015;0,290276;0,318331;0,280945;0,309911;27625;1731140
30/01/2015;0,306139;0,321144;0,286755;0,294018;21911;1831440
31/01/2015;0,294042;0,302376;0,279501;0,284363;10211;1764140
01/02/2015;0,28361;0,311151;0,272703;0,299954;17051;1706270
02/02/2015;0,30081;0,305869;0,283944;0,301242;16725;1814850
03/02/2015;0,300962;0,307398;0,275777;0,288734;11397;1820860
04/02/2015;0,289054;0,296241;0,265131;0,289486;19736;1753690
05/02/2015;0,289486;0,298088;0,266988;0,272273;13746;1761170
06/02/2015;0,272327;0,281941;0,262469;0,270772;14473;1661450
07/02/2015;0,270831;0,284338;0,264148;0,275702;12075;1656860
08/02/2015;0,275459;0,279798;0,255687;0,265034;11615;1689980
09/02/2015;0,258768;0,265256;0,24736;0,251738;12603;1591870
10/02/2015;0,252897;0,254932;0,237397;0,244719;14973;1559910
11/02/2015;0,244507;0,251757;0,228287;0,231497;23085;1512250
12/02/2015;0,234869;0,255847;0,224266;0,246741;25486;1456630
13/02/2015;0,250009;0,264404;0,237559;0,255641;12966;1554650
